anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
6639,Other Goods and Equipment Rental and Hiring n.e.c.,663,2025,7878.0,11.4,12.5,ABS 8165.0 DC02 Table 1
6640,Non-Financial Intangible Assets (Except Copyrights) Leasing,664,2025,3829.0,13.6,15.2,ABS 8165.0 DC02 Table 1
6711,Residential Property Operators,671,2025,58084.0,10.5,8.3,ABS 8165.0 DC02 Table 1
6712,Non-Residential Property Operators,671,2025,172135.0,12.3,8.4,ABS 8165.0 DC02 Table 1
6720,Real Estate Services,672,2025,45909.0,14.3,12.2,ABS 8165.0 DC02 Table 1
6910,Scientific Research Services,691,2025,6238.0,19.1,13.9,ABS 8165.0 DC02 Table 1
6921,Architectural Services,692,2025,13345.0,9.8,10.2,ABS 8165.0 DC02 Table 1
6922,Surveying and Mapping Services,692,2025,3644.0,10.9,11.1,ABS 8165.0 DC02 Table 1
6923,Engineering Design and Engineering Consulting Services,692,2025,48672.0,17.2,13.4,ABS 8165.0 DC02 Table 1
6924,Other Specialised Design Services,692,2025,17498.0,14.6,13.6,ABS 8165.0 DC02 Table 1
6925,Scientific Testing and Analysis Services,692,2025,3551.0,13.6,12.2,ABS 8165.0 DC02 Table 1
6931,Legal Services,693,2025,24004.0,9.8,8.4,ABS 8165.0 DC02 Table 1
6932,Accounting Services,693,2025,37000.0,10.3,9.2,ABS 8165.0 DC02 Table 1
6940,Advertising Services,694,2025,13527.0,19.2,16.8,ABS 8165.0 DC02 Table 1
6950,Market Research and Statistical Services,695,2025,2689.0,14.7,14.8,ABS 8165.0 DC02 Table 1
6961,Corporate Head Office Management Services,696,2025,666.0,15.1,9.2,ABS 8165.0 DC02 Table 1
6962,Management Advice and Related Consulting Services,696,2025,103124.0,20.1,16.3,ABS 8165.0 DC02 Table 1
6970,Veterinary Services,697,2025,3654.0,9.3,11.8,ABS 8165.0 DC02 Table 1
6991,Professional Photographic Services,699,2025,9355.0,15.2,14.5,ABS 8165.0 DC02 Table 1
6999,"Other Professional, Scientific and Technical Services n.e.c.",699,2025,2367.0,12.9,14.3,ABS 8165.0 DC02 Table 1
7000,Computer System Design and Related Services,700,2025,63927.0,17.1,14.4,ABS 8165.0 DC02 Table 1
7211,Employment Placement and Recruitment Services,721,2025,9027.0,17.8,13.4,ABS 8165.0 DC02 Table 1
7212,Labour Supply Services,721,2025,14229.0,24.9,22.0,ABS 8165.0 DC02 Table 1
7220,Travel Agency and Tour Arrangement Services,722,2025,8993.0,16.7,14.5,ABS 8165.0 DC02 Table 1
7291,Office Administrative Services,729,2025,13262.0,14.7,12.9,ABS 8165.0 DC02 Table 1
7292,Document Preparation Services,729,2025,1033.0,15.8,15.5,ABS 8165.0 DC02 Table 1
7293,Credit Reporting and Debt Collection Services,729,2025,711.0,17.6,16.0,ABS 8165.0 DC02 Table 1
7294,Call Centre Operation,729,2025,360.0,13.7,20.5,ABS 8165.0 DC02 Table 1
7299,Other Administrative Services n.e.c.,729,2025,12787.0,19.3,18.0,ABS 8165.0 DC02 Table 1
7311,Building and Other Industrial Cleaning Services,731,2025,45217.0,24.2,21.1,ABS 8165.0 DC02 Table 1
7312,Building Pest Control Services,731,2025,2871.0,10.7,11.7,ABS 8165.0 DC02 Table 1
7313,Gardening Services,731,2025,17566.0,18.3,15.4,ABS 8165.0 DC02 Table 1
