division,subdivision_code,subdivision_name,year,wages_m,iva_m,employment_000,labour_share_pct,data_source
Manufacturing,21,Primary metal and metal product manufacturing,2024,4795.0,9427.0,42.4,50.86,ABS 8155.0 DO001
Manufacturing,22,Fabricated metal product manufacturing,2022,7685.0,13530.0,114.5,56.8,ABS 8155.0 DO001
Manufacturing,22,Fabricated metal product manufacturing,2023,7800.0,14036.0,110.6,55.57,ABS 8155.0 DO001
Manufacturing,22,Fabricated metal product manufacturing,2024,8069.0,14291.0,109.7,56.46,ABS 8155.0 DO001
Manufacturing,23,Transport equipment manufacturing,2022,5778.0,10465.0,71.1,55.21,ABS 8155.0 DO001
Manufacturing,23,Transport equipment manufacturing,2023,6950.0,11897.0,84.5,58.42,ABS 8155.0 DO001
Manufacturing,23,Transport equipment manufacturing,2024,7847.0,13125.0,88.0,59.79,ABS 8155.0 DO001
Manufacturing,24,Machinery and equipment manufacturing,2022,9188.0,16283.0,106.3,56.43,ABS 8155.0 DO001
Manufacturing,24,Machinery and equipment manufacturing,2023,10166.0,18755.0,109.3,54.2,ABS 8155.0 DO001
Manufacturing,24,Machinery and equipment manufacturing,2024,10654.0,19012.0,106.7,56.04,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2022,1897.0,3774.0,39.0,50.26,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2023,1984.0,3713.0,36.8,53.43,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2024,2099.0,3775.0,36.8,55.6,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2022,63633.0,123963.0,865.2,51.33,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2023,69506.0,132593.0,892.7,52.42,ABS 8155.0 DO001
Manufacturing,25,Furniture and other manufacturing,2024,73524.0,134752.0,901.7,54.56,ABS 8155.0 DO001
"Electricity, gas, water and waste services",26,Electricity supply,2022,6867.0,25103.0,50.7,27.36,ABS 8155.0 DO001
"Electricity, gas, water and waste services",26,Electricity supply,2023,7338.0,26521.0,54.6,27.67,ABS 8155.0 DO001
"Electricity, gas, water and waste services",26,Electricity supply,2024,8409.0,29847.0,59.9,28.17,ABS 8155.0 DO001
"Electricity, gas, water and waste services",27,Gas supply,2022,299.0,2347.0,2.9,12.74,ABS 8155.0 DO001
"Electricity, gas, water and waste services",27,Gas supply,2023,316.0,3183.0,3.1,9.93,ABS 8155.0 DO001
"Electricity, gas, water and waste services",27,Gas supply,2024,331.0,3026.0,3.3,10.94,ABS 8155.0 DO001
"Electricity, gas, water and waste services",28,"Water supply, sewerage and drainage services",2022,3528.0,14309.0,33.3,24.66,ABS 8155.0 DO001
"Electricity, gas, water and waste services",28,"Water supply, sewerage and drainage services",2023,3804.0,14684.0,33.7,25.91,ABS 8155.0 DO001
